timestamp,elapsed_s,speed_mps,heart_rate_bpm,cadence_spm,running_power_w,spo2_percent,core_temperature_c,core_temperature_source,latitude,longitude,altitude_m
2026-08-01T07:00:00+00:00,0,1.9,134,158,205,98.0,37.8,Simulated external core-temperature sensor,40.0,-105.0,1600.0
2026-08-01T07:00:01+00:00,1,1.9,134,158,206,,37.8,Simulated external core-temperature sensor,40.000017067912324,-104.99999333676216,1600.1
2026-08-01T07:00:02+00:00,2,1.9,134,158,206,,37.8,Simulated external core-temperature sensor,40.00003413582465,-104.99998669408458,1600.2
2026-08-01T07:00:03+00:00,3,1.9,135,158,206,,37.81,Simulated external core-temperature sensor,40.00005120373697,-104.99998009246407,1600.3
2026-08-01T07:00:04+00:00,4,1.9,135,158,207,,37.81,Simulated external core-temperature sensor,40.0000682716493,-104.99997355227079,1600.4
2026-08-01T07:00:05+00:00,5,1.9,135,158,208,,37.81,Simulated external core-temperature sensor,40.00008533956162,-104.9999670936853,1600.5
2026-08-01T07:00:06+00:00,6,1.9,135,158,208,,37.81,Simulated external core-temperature sensor,40.000102407473946,-104.99996073663638,1600.6
2026-08-01T07:00:07+00:00,7,1.9,135,158,208,,37.81,Simulated external core-temperature sensor,40.00011947538627,-104.99995450073953,1600.7
2026-08-01T07:00:08+00:00,8,1.9,136,158,209,,37.81,Simulated external core-temperature sensor,40.0001365432986,-104.99994840523638,1600.8
2026-08-01T07:00:09+00:00,9,1.9,136,158,210,,37.82,Simulated external core-temperature sensor,40.000153611210926,-104.99994246893537,1600.9
2026-08-01T07:00:10+00:00,10,1.9,136,158,210,,37.82,Simulated external core-temperature sensor,40.00017067912325,-104.9999367101537,1601.0
2026-08-01T07:00:11+00:00,11,1.89,137,158,212,,37.82,Simulated external core-temperature sensor,40.00018765720446,-104.99993114666084,1601.3
2026-08-01T07:00:12+00:00,12,1.88,138,158,213,,37.82,Simulated external core-temperature sensor,40.000204545454544,-104.99992579562362,1601.6
2026-08-01T07:00:13+00:00,13,1.87,138,157,214,,37.82,Simulated external core-temperature sensor,40.00022134387352,-104.99992067355338,1601.9
2026-08-01T07:00:14+00:00,14,1.86,139,157,216,,37.82,Simulated external core-temperature sensor,40.00023805246137,-104.99991579625487,1602.2
