elapsed_s,heart_rate_bpm,speed_mps
0.0,134.0,2.0833333333333335
0.5,134.375,2.0703933747412004
1.0,134.75,2.05761316872428
1.5,135.125,2.044989775051125
2.0,135.5,2.032520325203252
2.5,135.875,2.0202020202020203
3.0,136.25,2.008032128514056
3.5,136.625,1.996007984031936
4.0,137.0,1.9841269841269842
4.5,138.0,1.9521717911176184
5.0,139.0,1.9212295869356388
5.5,140.0,1.8912529550827424
6.0,141.0,1.86219739292365
6.5,142.0,1.8340210912425492
7.0,143.0,1.8066847335140017
7.5,144.0,1.7801513128615933
8.0,145.0,1.7543859649122806
8.5,146.125,1.7316017316017316
9.0,147.25,1.7094017094017093
9.5,148.375,1.6877637130801688
10.0,149.5,1.6666666666666667
10.5,150.625,1.646090534979424
11.0,151.75,1.6260162601626016
11.5,152.875,1.606425702811245
12.0,154.0,1.5873015873015872
12.5,153.75,1.5910898965791567
13.0,153.5,1.594896331738437
13.5,153.25,1.598721023181455
14.0,153.0,1.6025641025641026
14.5,152.75,1.606425702811245
15.0,152.5,1.6103059581320451
15.5,152.25,1.6142050040355125
16.0,152.0,1.6181229773462786
16.5,151.75,1.6220600162206005
17.0,151.5,1.6260162601626016
17.5,151.25,1.6299918500407498
18.0,151.0,1.6339869281045751
18.5,150.76190476190476,1.6378100140383716
19.0,150.52380952380952,1.6416510318949344
19.5,150.28571428571428,1.6455101081335215
20.0,150.04761904761904,1.6493873704052782
20.5,149.8095238095238,1.653282947567312
21.0,149.57142857142858,1.6571969696969697
21.5,149.33333333333334,1.6611295681063123
22.0,149.0952380952381,1.6650808753568032
22.5,148.85714285714286,1.6690510252742012
23.0,148.61904761904762,1.673040152963671
23.5,148.38095238095238,1.677048394825108
24.0,148.14285714285714,1.6810758885686843
24.5,147.9047619047619,1.6851227732306213
25.0,147.66666666666666,1.6891891891891895
25.5,147.42857142857142,1.693275278180939
26.0,147.1904761904762,1.697381183317168
26.5,146.95238095238096,1.701507049100632
27.0,146.71428571428572,1.7056530214424954
27.5,146.47619047619048,1.7098192476795313
28.0,146.23809523809524,1.714005876591577
28.5,146.0,1.7182130584192439
