elapsed_s,speed_mps,heart_rate_bpm,latitude,longitude,altitude_m
0.0,2.8,135.0,40.0,-105.0,1600.0
1.0,2.8,135.44421585603786,40.00001,-104.999985,1600.15
2.0,2.8,135.88706102807961,40.00002,-104.99997,1600.3
3.0,2.8,136.32716906154732,40.00003,-104.999955,1600.45
4.0,2.8,136.76318194764897,40.00004,-104.99994,1600.6
5.0,2.8,137.19375431368582,40.00005,-104.999925,1600.75
6.0,2.8,137.61755757436921,40.00006,-104.99991,1600.9
7.0,2.8,138.03328403133807,40.00007,-104.999895,1601.05
8.0,2.8,138.43965090822684,40.00008,-104.99988,1601.2
9.0,2.8,138.83540430883363,40.00009,-104.999865,1601.35
10.0,2.8,139.21932308617494,40.0001,-104.99985,1601.5
11.0,2.8,139.59022261048852,40.00011,-104.999835,1601.65
12.0,2.8,139.9469584245579,40.00012,-104.99982,1601.8
13.0,2.8,140.2884297750791,40.00013,-104.999805,1601.95
14.0,2.8,140.61358300917388,40.00014,-104.99979,1602.1
15.0,2.8,140.9214148255683,40.00015,-104.999775,1602.25
16.0,2.8,141.2109753704053,40.00016,-104.99976,1602.4
17.0,2.8,141.4813711681384,40.00017,-104.999745,1602.55
18.0,2.8,141.73176787846316,40.00018,-104.99973,1602.7
19.0,2.8,141.9613928707793,40.00019,-104.999715,1602.85
20.0,0.0,142.16953760823964,40.0002,-104.9997,1603.0
21.0,0.0,142.35555983403003,40.00021,-104.999685,1603.15
22.0,0.0,142.51888555313352,40.00022,-104.99967,1603.3
23.0,0.0,142.65901080346435,40.00023,-104.999655,1603.45
24.0,0.0,142.7755032109065,40.00024,-104.99964,1603.6
25.0,0.0,142.86800332345848,40.00025,-104.999625,1603.75
26.0,0.0,142.93622572036773,40.00026,-104.99961,1603.9
27.0,0.0,142.97995989283243,40.00027,-104.999595,1604.05
28.0,0.0,142.9990708935528,40.00028,-104.99958,1604.2
29.0,0.0,142.99349975312813,40.00029,-104.999565,1604.35
30.0,2.8,142.96326366201413,40.0003,-104.99955,1604.5
31.0,2.8,142.90845591747976,40.00031,-104.999535,1604.65
32.0,2.8,142.8292456357267,40.00032,-104.99952,1604.8
33.0,2.8,142.72587723006,40.00033,-104.999505,1604.95
34.0,2.8,142.59866965672,40.00034,-104.99949,1605.1
35.0,2.8,142.44801543070278,40.00035,-104.999475,1605.25
36.0,2.8,142.27437941460545,40.00036,-104.99946,1605.4
37.0,2.8,142.0782973842343,40.00037,-104.999445,1605.55
38.0,2.8,141.86037437540082,40.00038,-104.99943,1605.7
39.0,2.8,141.62128281700768,40.00039,-104.999415,1605.85
40.0,2.8,141.36176045618438,40.0004,-104.9994,1606.0
41.0,2.8,141.08260808187575,40.00041,-104.999385,1606.15
42.0,2.8,140.7846870539066,40.00042,-104.99937,1606.3
43.0,2.8,140.46891664514752,40.00043,-104.999355,1606.45
44.0,2.8,140.1362712049826,40.00044,-104.99934,1606.6
45.0,0.0,139.78777715283167,40.00045,-104.999325,1606.75
46.0,0.0,139.4245098110037,40.00046,-104.99931,1606.9
47.0,0.0,139.04759008665454,40.00047,-104.999295,1607.05
48.0,0.0,138.6581810130865,40.00048,-104.99928,1607.2
49.0,0.0,138.2574841610626,40.00049,-104.999265,1607.35
50.0,2.8,137.8467359312085,40.0005,-104.99925,1607.5
51.0,2.8,137.42720373894284,40.00051,-104.999235,1607.65
52.0,2.8,137.0001821037069,40.00052,-104.99922,1607.8
53.0,2.8,136.566988654562,40.00053,-104.999205,1607.95
54.0,2.8,136.12896006447895,40.00054,-104.99919,1608.1
55.0,2.8,135.68744792586511,40.00055,-104.999175,1608.25
56.0,2.8,135.2438145800559,40.00056,-104.99916,1608.4
57.0,2.8,134.79942891363865,40.00057,-104.999145,1608.55
