video_s,motion_px,frame_difference,sharpness,brightness,workout_s,speed_mps,heart_rate_bpm,latitude,longitude,altitude_m,pace_min_km,sensor_conflict,low_motion,stop_candidate,repeated_frame,missing_speed
0.0,,,1367.095079991018,103.11453125,0.0,2.8,135.0,40.0,-105.0,1600.0,5.952380952380953,False,False,False,False,False
0.5,5.994665145874023,23.937951388888887,1363.5444109998919,102.84116319444445,0.5,2.8,135.0,40.0,-105.0,1600.0,5.952380952380953,False,False,False,False,False
1.0,5.995412826538086,24.1621875,1367.0080645106939,102.75376736111112,1.0,2.8,135.44421585603786,40.00001,-104.999985,1600.15,5.952380952380953,False,False,False,False,False
1.5,5.995187759399414,24.250416666666666,1367.0075826795792,102.72543402777778,1.5,2.8,135.44421585603786,40.00001,-104.999985,1600.15,5.952380952380953,False,False,False,False,False
2.0,5.995351314544678,24.234322916666667,1367.6786403570482,102.73916666666666,2.0,2.8,135.8870610280796,40.00002,-104.99997,1600.3,5.952380952380953,False,False,False,False,False
2.5,5.995424270629883,24.22190972222222,1367.1761410578222,102.74350694444445,2.5,2.8,135.8870610280796,40.00002,-104.99997,1600.3,5.952380952380953,False,False,False,False,False
3.0,5.995418548583984,24.241371527777776,1369.880845087951,102.67987847222223,3.0,2.8,136.32716906154732,40.00003,-104.999955,1600.45,5.952380952380953,False,False,False,False,False
3.5,5.995394229888916,24.291319444444444,1369.8888251082055,102.59064236111111,3.5,2.8,136.32716906154732,40.00003,-104.999955,1600.45,5.952380952380953,False,False,False,False,False
4.0,5.995284080505371,24.305555555555557,1368.2361908610026,102.66758680555556,4.0,2.8,136.76318194764897,40.00004,-104.99994,1600.6,5.952380952380953,False,False,False,False,False
4.5,5.995579719543457,24.241579861111113,1366.3343767252607,102.7421875,4.5,2.8,136.76318194764897,40.00004,-104.99994,1600.6,5.952380952380953,False,False,False,False,False
5.0,5.995454788208008,24.201128472222223,1366.2814353732635,102.7337326388889,5.0,2.8,137.19375431368582,40.00005,-104.999925,1600.75,5.952380952380953,False,False,False,False,False
5.5,5.9953789710998535,24.207048611111112,1367.367869788954,102.7259201388889,5.5,2.8,137.19375431368582,40.00005,-104.999925,1600.75,5.952380952380953,False,False,False,False,False
6.0,5.995359420776367,24.25328125,1368.6728163580246,102.67253472222222,6.0,2.8,137.6175575743692,40.00006,-104.99991,1600.9,5.952380952380953,False,False,False,False,False
6.5,5.995297431945801,24.297204861111112,1368.7229810173128,102.58755208333334,6.5,2.8,137.6175575743692,40.00006,-104.99991,1600.9,5.952380952380953,False,False,False,False,False
7.0,5.995158672332764,24.282899305555556,1366.9685457655166,102.69756944444444,7.0,2.8,138.03328403133807,40.00007,-104.999895,1601.05,5.952380952380953,False,False,False,False,False
7.5,5.995454788208008,24.21144097222222,1364.747842515432,102.73387152777778,7.5,2.8,138.03328403133807,40.00007,-104.999895,1601.05,5.952380952380953,False,False,False,False,False
8.0,5.995352745056152,24.18126736111111,1365.8667719859181,102.73659722222222,8.0,2.8,138.43965090822684,40.00008,-104.99988,1601.2,5.952380952380953,False,False,False,False,False
8.5,5.995423316955566,24.198194444444443,1365.1725143120661,102.72680555555556,8.5,2.8,138.43965090822684,40.00008,-104.99988,1601.2,5.952380952380953,False,False,False,False,False
9.0,5.995299816131592,24.278472222222224,1366.7690304226346,102.67177083333333,9.0,2.8,138.83540430883363,40.00009,-104.999865,1601.35,5.952380952380953,False,False,False,False,False
9.5,5.995372772216797,24.329774305555556,1369.373003363414,102.63328125,9.5,2.8,138.83540430883363,40.00009,-104.999865,1601.35,5.952380952380953,False,False,False,False,False
10.0,5.995336055755615,24.31987847222222,1370.3028915461034,102.7629861111111,10.0,2.8,139.21932308617494,40.0001,-104.99985,1601.5,5.952380952380953,False,False,False,False,False
10.5,5.995475769042969,24.236371527777777,1367.623746069336,102.75960069444444,10.5,2.8,139.21932308617494,40.0001,-104.99985,1601.5,5.952380952380953,False,False,False,False,False
11.0,5.995211124420166,24.235677083333332,1368.512194907106,102.7676736111111,11.0,2.8,139.59022261048852,40.00011,-104.999835,1601.65,5.952380952380953,False,False,False,False,False
11.5,5.995294570922852,24.24199652777778,1369.0657112220292,102.75081597222223,11.5,2.8,139.59022261048852,40.00011,-104.999835,1601.65,5.952380952380953,False,False,False,False,False
12.0,5.995479583740234,24.312239583333334,1370.551960684016,102.66215277777778,12.0,2.8,139.9469584245579,40.00012,-104.99982,1601.8,5.952380952380953,False,False,False,False,False
12.5,5.995299816131592,24.33810763888889,1371.4778229887033,102.66737847222223,12.5,2.8,139.9469584245579,40.00012,-104.99982,1601.8,5.952380952380953,False,False,False,False,False
13.0,5.995480060577393,24.330989583333334,1370.7780063356001,102.78430555555556,13.0,2.8,140.2884297750791,40.00013,-104.999805,1601.95,5.952380952380953,False,False,False,False,False
13.5,5.99521541595459,24.25734375,1370.5810913085938,102.79067708333334,13.5,2.8,140.2884297750791,40.00013,-104.999805,1601.95,5.952380952380953,False,False,False,False,False
14.0,5.995447635650635,24.233194444444443,1369.410167606759,102.76574652777778,14.0,2.8,140.61358300917388,40.00014,-104.99979,1602.1,5.952380952380953,False,False,False,False,False
14.5,5.995323181152344,24.255711805555556,1370.0797445011092,102.74527777777777,14.5,2.8,140.61358300917388,40.00014,-104.99979,1602.1,5.952380952380953,False,False,False,False,False
15.0,5.995484828948975,24.325555555555557,1371.3188367980201,102.63902777777778,15.0,2.8,140.9214148255683,40.00015,-104.999775,1602.25,5.952380952380953,False,False,False,False,False
15.5,5.995408535003662,24.355711805555554,1370.9738490728685,102.67074652777778,15.5,2.8,140.9214148255683,40.00015,-104.999775,1602.25,5.952380952380953,False,False,False,False,False
16.0,5.995294570922852,24.30840277777778,1367.7797912314331,102.74828125,16.0,2.8,141.2109753704053,40.00016,-104.99976,1602.4,5.952380952380953,False,False,False,False,False
16.5,5.995415210723877,24.229809027777776,1366.6899476969402,102.75413194444444,16.5,2.8,141.2109753704053,40.00016,-104.99976,1602.4,5.952380952380953,False,False,False,False,False
17.0,5.9954328536987305,24.241770833333334,1368.5184666473765,102.76378472222223,17.0,2.8,141.4813711681384,40.00017,-104.999745,1602.55,5.952380952380953,False,False,False,False,False
17.5,5.995500087738037,24.255277777777778,1370.0377065923997,102.72753472222222,17.5,2.8,141.4813711681384,40.00017,-104.999745,1602.55,5.952380952380953,False,False,False,False,False
18.0,5.995292663574219,24.328125,1372.6832428141274,102.63378472222222,18.0,2.8,141.73176787846316,40.00018,-104.99973,1602.7,5.952380952380953,False,False,False,False,False
18.5,5.995506763458252,24.337447916666665,1371.3750164493515,102.69394097222222,18.5,2.8,141.73176787846316,40.00018,-104.99973,1602.7,5.952380952380953,False,False,False,False,False
19.0,5.995340347290039,24.282864583333332,1369.141976615548,102.76222222222222,19.0,2.8,141.9613928707793,40.00019,-104.999715,1602.85,5.952380952380953,False,False,False,False,False
19.5,5.99540376663208,24.217395833333335,1369.0369962372201,102.76642361111111,19.5,2.8,141.9613928707793,40.00019,-104.999715,1602.85,5.952380952380953,False,False,False,False,False
20.0,4.9956817626953125,21.417673611111113,1368.8197726101346,102.75309027777777,20.0,0.0,142.16953760823964,40.0002,-104.9997,1603.0,,True,False,False,False,False
20.5,1.1407242709537968e-05,0.00828125,1368.91001566569,102.75092013888889,20.5,0.0,142.16953760823964,40.0002,-104.9997,1603.0,,False,True,True,True,False
21.0,0.015469662845134735,0.76484375,1371.9424810326848,102.69243055555556,21.0,0.0,142.35555983403003,40.00021,-104.999685,1603.15,,False,True,True,False,False
21.5,3.6616684155887924e-06,0.002013888888888889,1372.0412310326847,102.69236111111111,21.5,0.0,142.35555983403003,40.00021,-104.999685,1603.15,,False,True,True,True,False
22.0,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,22.0,0.0,142.51888555313352,40.00022,-104.99967,1603.3,,False,True,True,True,False
22.5,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,22.5,0.0,142.51888555313352,40.00022,-104.99967,1603.3,,False,True,True,True,False
23.0,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,23.0,0.0,142.65901080346435,40.00023,-104.999655,1603.45,,False,True,True,True,False
23.5,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,23.5,0.0,142.65901080346435,40.00023,-104.999655,1603.45,,False,True,True,True,False
24.0,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,24.0,0.0,142.7755032109065,40.00024,-104.99964,1603.6,,False,True,True,True,False
24.5,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,24.5,0.0,142.7755032109065,40.00024,-104.99964,1603.6,,False,True,True,True,False
25.0,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,25.0,0.0,142.86800332345848,40.00025,-104.999625,1603.75,,False,True,True,True,False
25.5,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,25.5,0.0,142.86800332345848,40.00025,-104.999625,1603.75,,False,True,True,True,False
26.0,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,26.0,0.0,142.93622572036773,40.00026,-104.99961,1603.9,,False,True,True,True,False
26.5,2.0792585928575136e-06,0.0,1372.0412310326847,102.69236111111111,26.5,0.0,142.93622572036773,40.00026,-104.99961,1603.9,,False,True,True,True,False
