video_s,motion_px,frame_difference,sharpness,brightness,workout_s,speed_mps,heart_rate_bpm,latitude,longitude,altitude_m,cadence_spm,running_power_w,spo2_percent,spo2_sample_s,core_temperature_c,core_temperature_source,core_temperature_sample_s,pace_min_km,sensor_conflict,low_motion,stop_candidate,repeated_frame,missing_speed,heart_rate_zone
0.0,,,15932.98691471324,133.73413194444444,0.0,1.9,134.0,40.0,-105.0,1600.0,158.0,205.0,98.0,0.0,37.8,Simulated external core-temperature sensor,0.0,8.771929824561404,False,False,False,False,False,2.0
0.5,5.791256904602051,42.92982638888889,15332.47458795814,128.60791666666665,0.5,1.9,134.0,40.0,-105.0,1600.0,158.0,205.0,98.0,0.0,37.8,Simulated external core-temperature sensor,0.0,8.771929824561404,False,False,False,False,False,2.0
1.0,7.415486812591553,43.59664930555556,14459.605241208226,126.50383680555555,1.0,1.9,134.0,40.00001706791232,-104.99999333676216,1600.1,158.0,206.0,,,37.8,Simulated external core-temperature sensor,1.0,8.771929824561404,False,False,False,False,False,2.0
1.5,6.850768566131592,42.52873263888889,13975.586918725585,127.5440625,1.5,1.9,134.0,40.00001706791232,-104.99999333676216,1600.1,158.0,206.0,,,37.8,Simulated external core-temperature sensor,1.0,8.771929824561404,False,False,False,False,False,2.0
2.0,8.149723052978516,44.34059027777778,14034.102231462191,130.34131944444445,2.0,1.9,134.0,40.00003413582465,-104.99998669408458,1600.2,158.0,206.0,,,37.8,Simulated external core-temperature sensor,2.0,8.771929824561404,False,False,False,False,False,2.0
2.5,11.667341232299805,48.149600694444445,13611.433441229927,135.64404513888888,2.5,1.9,134.0,40.00003413582465,-104.99998669408458,1600.2,158.0,206.0,,,37.8,Simulated external core-temperature sensor,2.0,8.771929824561404,False,False,False,False,False,2.0
3.0,9.224956512451172,43.36151041666667,13213.192383829753,132.21104166666666,3.0,1.9,135.0,40.00005120373697,-104.99998009246409,1600.3,158.0,206.0,,,37.81,Simulated external core-temperature sensor,3.0,8.771929824561404,False,False,False,False,False,2.0
3.5,7.551732063293457,41.53668402777778,12929.44122983097,120.58029513888889,3.5,1.9,135.0,40.00005120373697,-104.99998009246409,1600.3,158.0,206.0,,,37.81,Simulated external core-temperature sensor,3.0,8.771929824561404,False,False,False,False,False,2.0
4.0,9.705276489257812,41.699756944444445,12764.141065895063,120.44741319444445,4.0,1.9,135.0,40.0000682716493,-104.9999735522708,1600.4,158.0,207.0,,,37.81,Simulated external core-temperature sensor,4.0,8.771929824561404,False,False,False,False,False,2.0
4.5,10.60031795501709,42.17951388888889,12637.092985675878,130.29907986111112,4.5,1.9,135.0,40.0000682716493,-104.9999735522708,1600.4,158.0,207.0,,,37.81,Simulated external core-temperature sensor,4.0,8.771929824561404,False,False,False,False,False,2.0
